CURVE_ID,DAY,RISKFACTOR,VALUE,RISK_CD,BSDT
IREUR-CRS,91,,0.0264438703,IR,20241231
IREUR-CRS,183,,0.0238058648,IR,20241231
IREUR-CRS,365,,0.0210763173,IR,20241231
IREUR-CRS,730,,0.0197593133,IR,20241231
IREUR-CRS,1095,,0.0198563969,IR,20241231
IREUR-CRS,1825,,0.0207148214,IR,20241231
IREUR-CRS,3650,,0.0225037149,IR,20241231
IREUR-CRS,5475,,0.0236128877,IR,20241231
IREUR-CRS,7300,,0.0234768987,IR,20241231
IREUR-CRS,10950,,0.022255283,IR,20241231
IRKRW-CRS,91,,0.029931427,IR,20241231
IRKRW-CRS,183,,0.025760797,IR,20241231
IRKRW-CRS,365,,0.023328592,IR,20241231
IRKRW-CRS,730,,0.021926168,IR,20241231
IRKRW-CRS,1095,,0.021934282,IR,20241231
IRKRW-CRS,1825,,0.0223125,IR,20241231
IRKRW-CRS,3650,,0.022380958,IR,20241231
IRKRW-CRS,5475,,0.02115366,IR,20241231
IRKRW-CRS,7300,,0.020361275,IR,20241231
IRKRW-CRS,10950,,0.020361275,IR,20241231
IRKRW-IRS,91,,0.0337,IR,20241231
IRKRW-IRS,183,,0.0317,IR,20241231
IRKRW-IRS,365,,0.0285,IR,20241231
IRKRW-IRS,730,,0.0272,IR,20241231
IRKRW-IRS,1095,,0.0269,IR,20241231
IRKRW-IRS,1825,,0.0271,IR,20241231
IRKRW-IRS,3650,,0.0278,IR,20241231
IRKRW-IRS,5475,,0.0272,IR,20241231
IRKRW-IRS,7300,,0.0254,IR,20241231
IRKRW-IRS,10950,,0.0222,IR,20241231
IRKRW-Treasury-CSR-NSEC-B1,183,,0,CSR,20241231
IRKRW-Treasury-CSR-NSEC-B1,365,,0,CSR,20241231
IRKRW-Treasury-CSR-NSEC-B1,1095,,0,CSR,20241231
IRKRW-Treasury-CSR-NSEC-B1,1825,,0.0005,CSR,20241231
IRKRW-Treasury-CSR-NSEC-B1,3650,,0.001,CSR,20241231

